,0
0,apache
1,php
2,email
3,jquery-ui
4,typescript
5,optimization
6,debugging
7,shell
8,internet-explorer
9,c_plusplus11
10,api
11,gcc
12,image
13,linux
14,windows
15,unit-testing
16,utf-8
17,python-3.x
18,ipad
19,regex
20,wpf
21,postgresql
22,selenium
23,firebase
24,sqlite
25,python
26,vb.net
27,selenium-webdriver
28,image-processing
29,security
30,jquery
31,html
32,laravel
33,python-2.7
34,numpy
35,variables
36,spring-mvc
37,algorithm
38,date
39,angular
40,npm
41,reactjs
42,iphone
43,loops
44,class
45,ubuntu
46,swing
47,cocoa
48,dataframe
49,user-interface
50,xcode
51,events
52,winapi
53,c_plusplus
54,dom
55,junit
56,arrays
57,jdbc
58,string
59,c_sharp
60,jsp
61,spring
62,git
63,jakarta-ee
64,inheritance
65,twitter-bootstrap
66,excel
67,tomcat
68,sql
69,memory
70,express
71,maven
72,visual-studio
73,list
74,forms
75,network-programming
76,eclipse
77,datetime
78,linq
79,bash
80,parsing
81,http
82,ruby-on-rails
83,google-chrome
84,file
85,text
86,node.js
87,uitableview
88,firefox
89,unix
90,android-studio
91,ajax
92,macos
93,sockets
94,spring-boot
95,pandas
96,winforms
97,authentication
98,asp.net
99,input
100,database
101,wordpress
102,multithreading
103,asynchronous
104,object
105,oop
106,asp.net-mvc
107,swift
108,entity-framework
109,post
110,servlets
111,dictionary
112,command-line
113,flutter
114,validation
115,rest
116,sql-server
117,hibernate
118,mongodb
119,ios7
120,angularjs
121,cocoa-touch
122,cordova
123,gradle
124,react-native
125,math
126,unicode
127,opencv
128,web-services
129,sorting
130,java
131,css
132,ruby
133,installation
134,csv
135,c
136,testing
137,exception
138,pointers
139,pdf
140,performance
141,json
142,logging
143,qt
144,android-layout
145,t-sql
146,r
147,xaml
148,sql-server-2005
149,url
150,objective-c
151,mysql
152,xml
153,docker
154,ssl
155,javascript
156,amazon-web-services
157,jpa
158,django
159,android
160,sql-server-2008
161,oracle-database
162,function
163,ios
164,machine-learning
